"Subject Code","Catalog Number","Description"
"ENGL","30593","Prerequisites: ENGL 10803 , ENGL 20803 , and at least one 10000- or 20000-level ENGL/WRIT/CRWT course.  A study in the development of American fiction from 1960 to the present.  Explores the relationship between literature and the concerns of contemporary society.  Examines current trends and topics in American fiction and introduces students to recent literary analysis and critical debates.  Student cannot receive credit for ENGL 55823 and ENGL 30593."
"ENGL","30613","Prerequisites: ENGL 10803 , ENGL 20803 , and at least one 10000- or 20000-level ENGL/WRIT/CRWT course.  Readings in contemporary women's writing that reflect women's lives and experiences with self, family, and society, with some attention to the theory and practice of writing the memoir. Discussion of works as both literature and social commentary."
"ENGL","30623","Prerequisites: ENGL 10803 , ENGL 20803 , and at least one 10000- or 20000-level ENGL/WRIT/CRWT course.  A survey of major thinkers and writers of the West from the fall of Rome to 1500, in part devoted to drawing a coherent picture of medieval thought: Heavenly versus earthly order; the nature of desire; the power of human agency; the value and uses of the past, including the classical past; gender roles. The often surprising ways in which individual writers deviate from and even criticize this cultural heritage."
"ENGL","30633","Prerequisites: ENGL 10803 , ENGL 20803  and at least one 10000- or 20000-level ENGL/WRIT/CRWT course.  A study of one or more female authors writing in the medieval or early modern periods in Britain, with attention to the development of beliefs about women's roles and characters and the ways these beliefs were accepted, challenged, or discredited.  Genres, authors, and approaches may vary by section. Student cannot receive credit for ENGL 55323 and ENGL 30633."
"ENGL","30653","Prerequisites: ENGL 10803, ENGL 20803, and a least one 10000 or 20000-level  ENGL/WRIT/CRWT course.  A study of Jane Austen's biography, letters, and novels and the film adaptations based upon them, from 1940 to the present day."
"ENGL","30673","Prerequisites: ENGL 10803 , ENGL 20803 , and at least one 10000- or 20000-level ENGL/WRIT/CRWT course.  Surveys the growth of the Arthurian tradition from legend and medieval literature into the 19th and 20th centuries, with special attention to Malory, Tennyson, Twain, and Bradley.  Student cannot receive credit for ENGL 55453 and ENGL 30673."
"ENGL","30683","Prerequisites: ENGL 10803 , ENGL 20803 , and at least one 10000- or 20000-level ENGL/WRIT/CRWT course.  This course examines contemporary writers of English whose literary works were influenced or shaped by colonialism or its aftermath.  Emphasis will be placed on writers from India, Australia, Ireland, Africa or the Caribbean."
"ENGL","30693","Prerequisites: ENGL 10803, ENGL 20803 and at least one 10000- or 20000-level ENGL/WRIT/CRWT course.  An analysis of the fiction, poetry, drama and essays by major ethnic writers from the United States.  From a comparative angle, this course will explore the historical, social, cultural and racial contexts that shape the literature.  Several critical approaches will be taken to show interrelationships among writers."
"ENGL","30703","Prerequisites: ENGL 10803, ENGL 20803 and at least one 10000- or 20000-level ENGL/WRIT/CRWT course.  Study of literary works in English on various genres by U.S. authors of Puerto Rican, Mexican, Nicaraguan, Cuban, Dominican, and/or Chicano/a backgrounds.  Historical emphasis will be limited to the twentieth and twenty-first centuries.  Topics of analysis include race, gender, class, nationality, migration, immigration, and urban studies.  Student cannot receive credit for ENGL 55723 and ENGL 30703."
"ENGL","30713","Prerequisites:  ENGL 20803.  The course examines expressive culture that reflects and shapes the way people think, behave, and give their lives meaning.  The expressive culture includes history, literature, and lore considered as resources for people to address their needs and circumstances, especially in relation to social positions, gender, self-identification, politics, and ethics.  Other topics include U.S. Mexico relations, social conflict, resistance movements, religion, and cultural poetics.  Student cannot receive credit for ENGL 55713 and ENGL 30713."
"ENGL","30723","Prerequisites: ENGL 10803, ENGL 20803 and at least one other 10000- or 20000-level ENGL/WRIT/CRWT course.  A survey of the development of the short story through the 19th and 20th centuries."
"ENGL","30733","Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course.  Examines the nature and uses of satire, concentrating on the variety of satiric forms. Readings will include prose fiction, essays, and poetry written by European and American satirists."
"ENGL","30743","Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course.  The course examines sequential illustrated storytelling -- including comic books, graphic novels, political cartoons, and engravings -- from a variety of cultures over the past 300 years.  The perspective will be literary and historical."
"ENGL","30753","Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course.  A study of aesthetic and ideological differences, considering both how various literary works have been filmed and how films images may be analyzed using interpretive techniques developed by literary criticism."
"ENGL","30763","Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course.  This course examines themes of sexual identity in literature by authors from antiquity to the present."
"ENGL","30773","Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course.  A consideration of selected classic works of religious and literary imagination in Indian culture.  Versions and interpretations of the Hindu epics Mahabharata and Ramayana will be examined in translation."
"ENGL","30783","Prerequisites: ENGL 10803 , ENGL 20803 and at least one 10000- or 20000-level ENGL/WRIT/CRWT course.  A study of the literature and culture of modern, post-independence (post 1947) India through the lens of literature.  The course introduces students to India's history of colonization and religious diversity to understand Indian heritage and provide a context for modern Indian literature.  Literature is the focal point but the course includes readings about India's history, religion, and philosophy."
"ENGL","30793","Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course.  An analysis of the fiction, poetry, drama and essays of major ethnic writers and new literatures in English from Britain, the Commonwealth, or other parts of the world.  From a comparative angle, this course will explore the historical, social, cultural and racial contexts which shape the literature.  Several critical approaches will be taken to show interrelationships among writers."
"ENGL","30803","Prerequisites: ENGL 10803 and ENGL 20803.  A study of theories of cinema as text in the humanities, including areas such as analytic approaches to film, rhetorical approaches to film, and/or film criticism.  Course includes an integrated lab for viewing required films."
"ENGL","30823","Prerequisites: ENGL 10803, ENGL 20803, and at least one other 10000- or 20000-level ENGL/WRIT/CRWT course.  This course will explore the parallel interests and debates of literary and legal discourse.  Subtopics and time period may vary by semester.  Student cannot receive credit for ENGL 55753 and ENGL 30823."
"ENGL","30833","Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course.  This course critically examines consumer-driven participatory culture through multiple media, including magazine and newspaper serial publication, film franchises, television series, parodies, pastiches and interactive fan cultures.  Case studies vary by semester."
"ENGL","30843","Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course.  This course examines a wide variety of Australian literature written between European colonization in 1788 and the present.  Student cannot receive credit for ENGL 55833 and ENGL 30843."
"ENGL","30853","Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course.  An introduction to Asian American literary culture and the many histories, geographies, and experiences that shape it.  Explores how Chinese, Japanese, Filipino, Korean, Hawaiian, South Asian, and Southeast Asian American literatures have reflected and given form to the panethnic identity Asian American."
"ENGL","30863","Prerequisites: ENGL 10803 and ENGL 20803 and at least one ENGL/WRIT/CRWT class.  This class examines literature from across the Middle East and North Africa, addressing a wide range of topics such as dissent and conformity, religious and secular identity, sex and gender, conflict and reconciliation, etc. Discussions will be grounded in critical race theory & cultural, constructivist approaches to literature.  Student cannot receive credit for ENGL 55773 and ENGL 30863."
"ENGL","30873","Students will explore the methods and theories that underlie big data in the humanities.  Students will examine how we can better ask and answer research questions in rhetoric, culture, and literature through the use of digital tools such as R and/or Python.  Students will work independently and collaboratively to perform humanities research using these tools.  Through a series of close reading, distant reading, writing, and programming assignments, students will also examine issues of race, class, gender, and sexuality.  Students will learn to think critically about the uses and limitations of digital methods and theories.  Student cannot receive credit for ENGL 55493 and ENGL 30873."
"ENGL","30883","Prerequisites: ENGL 10803, 20803 and at least one ENGL/ WRIT/CRWT class.  This course examines the political and social histories of Middle Eastern and North African diasporic communities, paying close attention to how they address creativity and concerns about cultural preservation and assimilation.  Class discussion will be grounded in critical race theory & constructivist approaches to literature and culture.  Student cannot receive credit for ENGL 55463 and ENGL 30883."
"ENGL","30970","Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course.  Directed Study in English."
"ENGL","30990","This course represents credit earned through a semester study abroad experience with an institution or program with which Texas Christian University has an official agreement to accept credit.  The site and specific content will be identified on the official transcript. Courses appearing on a student's official transcript have been included in the student's grade point average."
"ENGL","31990","This course represents credit earned through a semester study abroad experience with an institution or program with which Texas Christian University has an official agreement to accept credit.  The site and specific content will be identified on the official transcript. Courses appearing on a student's official transcript have been included in the student's grade point average."
"ENGL","32290","This course represents credit earned through a semester study abroad experience with an institution or program with which Texas Christian University has an official agreement to accept credit.  The site and specific content will be identified on the official transcript. Courses appearing on a student's official transcript have been included in the student's grade point average."
"ENGL","34990","This course represents credit earned through a semester study abroad experience with an institution or program with which Texas Christian University has an official agreement to accept credit.  The site and specific content will be identified on the official transcript. Courses appearing on a student's official transcript have been included in the student's grade point average."
"ENGL","35590","This course represents credit earned through a semester study abroad experience with an institution or program with which Texas Christian University has an official agreement to accept credit.  The site and specific content will be identified on the official transcript. Courses appearing on a student's official transcript have been included in the student's grade point average."
"ENGL","37990","This course represents credit earned through a semester study abroad experience with an institution or program with which Texas Christian University has an official agreement to accept credit.  The site and specific content will be identified on the official transcript. Courses appearing on a student's official transcript have been included in the student's grade point average."
"ENGL","38013","Prerequisites: English majors or minors only; students must have junior or senior standing and must have completed one 30000-level ENGL/WRIT/CRWT course.  Introduces English majors and minors to a sustained, long-format research project over the course of the semester.  Students will discuss and examine the practical and professional aspects of the English major while attempting to synthesize and integrate their various learning experiences in British literature and writing."
"ENGL","38023","Prerequisites: English majors or minors only; students must have junior or senior standing and must have completed one 30000-level ENGL/ WRIT/CRWT course.  Introduces English majors and minors to a sustained, long-format research project over the course of the semester.  Students will discuss and examine the practical and professional aspects of the English major while attempting to synthesize and integrate their various learning experiences in American literature and writing.  This course is not repeatable for credit.  Student cannot receive credit for ENGL 55473 and ENGL 38023."
"ENGL","38033","Prerequisites: English majors or minors only; students must have junior or senior standing and must have completed one 30000-level ENGL/WRIT/CRWT course.  Introduces English majors and minors to a sustained, long-format research project over the course of the semester.  Students will discuss and examine the practical and professional aspects of the English major while attempting to synthesize and integrate their various learning experiences in global and diasporic literatures and writing.  This course is not repeatable for credit.  Student cannot receive credit for ENGL 55843 and ENGL 38033."
"ENGL","39990","This course represents credit earned through a semester study abroad experience with an institution or program with which Texas Christian University has an official agreement to accept credit.  The site and specific content will be identified on the official transcript. Courses appearing on a student's official transcript have been included in the student's grade point average."
"ENGL","40003","Independent projects in literature, writing, and creative writing, resulting in SeniorHonors Thesis."
"ENGL","40013","Independent study to complete a distinction project in literature or writing."
"ENGL","40123","Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course.  An historical study of major developments in the theory of literature since Plato. The first half of the course surveys representatives of the most important positions; the second half surveys how these positions remain influential in 20th century thought.  Student cannot receive credit for ENGL 55123 and ENGL 40123."
"ENGL","40323","Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course.  The study of the origins and development of Modern English.  Student cannot receive credit for ENGL 55143 and ENGL 40323."
"ENGL","40403","Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. An intensive study of Chaucer's major poetry, especially The Canterbury Tales and Troilus and Criseyde, in Middle English. Emphasis is on Chaucer as inheritor and innovator of medieval ideas about God, social order, gender, authorship, and the morality of reading and the function of poetry. Some prior experience with early literature is expected.  Student cannot receive credit for ENGL 55103 and ENGL 40403."
"ENGL","40413","Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course.  The prose writers, dramatists, and poets of sixteenth- and seventeenth-century England in relation to the cultural circumstances influencing and being influenced by their works. Topics may include the prospect and enactment of censorship; the centrality of the patronage system; courts and courtiers; changing views of monarchy and obedience; religious controversy; issues of gender, ethnicity, and class; literature and science; pseudo-nonfictional strategies; adaptations of the bible, history, and mythology; and early book production and circulation."
"ENGL","40423","Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course.  The poetry and prose of Pepys, Dryden, Prior, Pope, Swift, Defoe, Thomson, Goldsmith, Gray, Johnson, Burns, and others writing between 1660 and 1798."
"ENGL","40433","Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course.  An intensive study of literature published between 1790 and 1900.  Topics may vary."
"ENGL","40443","Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course.  An intensive study of British literature from 1900 to the present."
"ENGL","40453","Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT course.  A survey of the novel through the early 19th century."
"ENGL","40463","Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT course.  A survey of the novel from the mid-19th century to the present."
"ENGL","40473","Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course.  This course examines major literary texts written during and immediately after the English Revolution of 1640-1660 with a focus on the poetry and prose of John Milton and his major contemporaries.  Topics include Protestant and Catholic poetics, poetry and theology, literary responses to political upheaval and the rise of the new empirical sciences, the status of epic poetry in modern society, and the literary consequences of changes in the structure of family life and gender.  Student cannot receive credit for ENGL 55163 and ENGL 40473."
"ENGL","40483","Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course.  Comparative study of several plays each by Shakespeare and Marlowe, placing their work in historical and social contexts. Reading includes historical documents and literary theory.  Student cannot receive credit for ENGL 55173 and ENGL 40483."
"ENGL","40493","Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course.  An intensive study of Shakespeare's major works.  Emphasis will be on developing interpretive strategies for understanding Shakespeare's aesthetic achievement within larger literary and historical contexts.  Topics may include attention to how Shakespeare's works were written, performed, and published as ways of understanding their significance to both early modern and contemporary culture. Student cannot receive credit for ENGL 55333 and ENGL 40493."
"ENGL","40513","A study of American women's writings from the colonial period through 1865, with attention to the ways the literature reflects, responds to, and shapes perceptions of women's roles, identities, and opportunities at various historical moments.  Topics, authors, genres, and approaches may vary by semester."
"ENGL","40533","Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course.  An intensive study of the works of Toni Morrison. Attention will also be given to the cultural contexts (historical and contemporary) that structure the worlds of Morrison's fiction and influence the reception of her work.  Student cannot receive credit for ENGL 55563 and ENGL 40533."
"ENGL","40543","Prerequisites: ENGL 10803, ENGL 20803, and one 20000-level ENGL/WRIT/CRWT course.  Concentrated study of American literature before 1830.  Topics, genres, authors, and approaches will vary by semester.  May be taken more than once for credit under different sub-headings. Student cannot receive credit for ENGL 55503 and ENGL 40553."
"ENGL","40553","Prerequisites: ENGL 10803, ENGL 20803, and one 20000-level ENGL/WRIT course.  Concentrated study of American literature, 1800-1899.  Topics, genres, authors, and approaches will vary by semester.  May be taken more than once for credit under different sub-headings"
"ENGL","40563","Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course.  A study of U.S. women's writings from 1865 to the present, with attention to the ways the literature reflects, responds to, and shapes perceptions of women's roles, identities, and opportunities at various historical moments.  Topics, authors, genres, and approaches may vary by semester.  This course may be taken more than once for credit under different subheadings."
"ENGL","40583","Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course.  Intensive study of contemporary American poets, poetic movements and relevant issues in aesthetics."
"ENGL","40613","Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course.  Surveys transatlantic responses to Arthurian legend in literature, art, and culture from 1800 to the present, with attention to Tennyson, Twain, T.H. White, and Marion Zimmer Bradley, among others. Student cannot receive credit for ENGL 55453 and ENGL 30673."
"ENGL","40633","Prerequisites: ENGL 10803, ENGL 20803, and at least one additional 10000- or 20000-level ENGL/WRIT/CRWT course.  An advanced course on the subject of romantic love, gender relations, and sexuality in literature of the English Renaissance.  This course examines the political, cultural, and aesthetic contexts of love and sex that shaped representations of desire in some of the Renaissance's most enduring works, including drama and poetry by Shakespeare and others.  Student cannot receive credit for ENGL 55633 and ENGL 40633."
"ENGL","40643","Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course.  This class will survey British literature from 1790-1830, examining the aesthetic movement of Romanticism in its social and historical context.  Authors include Blake, Wordsworth, Coleridge, Barbauld, Byron, Percy and Mary Shelley, Keats, Hemans, and De Quincey."
"ENGL","40653","Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course.  This course examines how and why artists and scientists in the century c. 1550-1650 interacted intellectually as they did.  Topics include influences of scientific developments and discoveries upon European (chiefly British) letters; strategies used by writers to appropriate, revise, or contest scientific development in astronomy, medicine, philosophy and other disciplines; and relationships between scientific and literary discourses of change."
"ENGL","40663","Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENG/WRIT/CRWT course. Exploration of American literature from a transnational perspective.  Topics vary by semester.  May be taken only once for credit.  Student cannot receive credit for ENGL 55363 and ENGL 40663."
"ENGL","40673","Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course.  Close study of representative plays marking significant movements in modern theater, including realism, surrealism, absurdism, and the theatre of alienation."
"ENGL","40683","Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course.  Concentrated study of American literature, 1900 to the present.  Topics, genres, authors, ad approaches will vary by semester.  May be taken more than once for credit under different sub-headings.  Student cannot receive credit for ENGL 55373 and ENGL 40683."
"ENGL","40693","Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course.  An intensive study of contemporary British and/or Irish poets and poetic movements."
"ENGL","40733","Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course.  A study of the history and criticism of children's literature, with an emphasis on Anglophone works from the last 200 years.  Student cannot receive credit for ENGL 55733 and ENGL 40733."
"ENGL","40743","Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course.  An intensive study of the pleasures and difficulties of long novels, which represent a unique genre of literature.  Each semester focuses on three or four novels generally regarded as works of tremendous influence, but which may be too involved for study in survey courses.  The novels will be selected from different periods, cultures, and languages."
"ENGL","40831","Prerequisites: English majors or Writing majors only; students must have senior standing and must have completed 21 hours in English courses beyond 10803/10833 and 20803/20833.  This seminar is intended as a capstone course for all English majors.  Students will discuss and examine the practical and professional aspects of the English major while attempting to synthesize and integrate their various learning experiences in literature and writing.  Students will also attend special workshops and seminars intended to inform them about various areas of professional activity (and as well meet professionals active in these areas.)  Students will prepare and submit a final writing portfolio, representing their work as an English major."
"ENGL","50133","Prerequisites: Junior standing with a minimum of 9 hours in literature, history, and/or political science, or graduate standing in English or History.  Interdisciplinary study of society, culture, or politics through the literature and history of a given era (variable topic).  Open to graduate students and to advanced undergraduate students.  Students will receive instruction from both an English professor and a History professor in content (literary works, historical studies, primary documents in periodicals or archives) and discipline-specific research methods."
"ENGL","50233","Prerequisites: CRWT 10203, CRWT 20103, or CRWT 20133.  Prior to enrollment, students are also strongly encouraged to take an upper-division creative writing course. Studies in Creative Writing is an intensive creative writing workshop open to students (graduate and advanced undergraduates) who have a strong background in literature and imaginative writing.  Depending on the semester and the selected genre, this course will pay special attention to invention, point-of-view, voice, form, and genre-appropriate theory.  Student cannot receive credit for CRWT 55143 and ENGL 50233."
"ENGL","50243","Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course.  A course for teachers of English combining theories of composition with practical pedagogy and classroom strategies for the teaching of writing. Not applicable toward degree requirements for the Ph.D. in English."
"ENGL","50253","Prerequisite: Junior or senior standing, permission of instructor.  This course examines the emergence of rhetoric in Antiquity and traces the impact of classical rhetoric up to the Middle Ages.  A substantial amount of the course is devoted to learning about the relationship between oral and written discourse, the impact of literacy, and the adaptability of systems of communication to technology and society.  The implications of such phenomena are examined in different periods in an effort to develop an historical perspective about the relationship between cognition and expression within cultural conditions.  Student cannot receive credit for WRIT 55273 and ENGL 50253."
"ENGL","50973","Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course.  Directed Study in English.  Student cannot receive credit for ENGL 55973 and ENGL 50973."
"ENGL","55103","Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. An intensive study of Chaucer's major poetry, especially The Canterbury Tales and Troilus and Criseyde, in Middle English. Emphasis is on Chaucer as inheritor and innovator of medieval ideas about God, social order, gender, authorship, and the morality of reading and the function of poetry. Some prior experience with early literature is expected.  Student cannot receive credit for ENGL 55103 and ENGL 40403."
"ENGL","55113","Prerequisites:  ENGL 10803, ENGL 20803, and at least 10000- or 20000-level ENGL/WRIT/CRWT course.  An introductory investigation into the peculiar aesthetic problems involved in reading and interpreting literary language.  Particular attention is given to the tensions between literature, readers, and cultural contexts.  Both traditional and contemporary approaches are examined.  Readings range from folk tales to literary classics to recent writing in the philosophy of language.  Student cannot receive credit for ENGL 55113 and 30113."
"ENGL","55123","Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course.  An historical study of major developments in the theory of literature since Plato. The first half of the course surveys representatives of the most important positions; the second half surveys how these positions remain influential in 20th century thought.  Student cannot receive credit for ENGL 55123 and ENGL 40123."
"ENGL","55133","Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course.  An introductory investigation into the peculiar aesthetic problems involved in reading and interpreting literary language.  Particular attention is given to the tensions among literature, readers, and cultural contexts.  Both traditional and contemporary approaches are examined.  Readings range from folk tales to literary classics to recent writing in the philosophy of language.  Students cannot receive credit for ENGL 55133 and ENGL 30103."
"ENGL","55143","Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course.  The study of the origins and development of Modern English.  Student cannot receive credit for ENGL 55143 and ENGL 40323."
"ENGL","55153","The prose writers and poets of 16th and 17th century England in relation to the cultural circumstances influencing and being influenced by their works.  Topics may include the prospect and enactment of censorship; the centrality of the patronage system; courts and courtiers; changing views of monarchy and obedience; religious controversy; issues of gender, ethnicity and class; literature and science; pseudo-nonfictional strategies; adaptations of the bible, history, and mythology; and early book production and circulation.  Student cannot receive credit for ENGL 55153 and ENGL 60423."
"ENGL","55163","Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course.  This course examines major literary texts written during and immediately after the English Revolution of 1640-1660 with a focus on the poetry and prose of John Milton and his major contemporaries.  Topics include Protestant and Catholic poetics, poetry and theology, literary responses to political upheaval and the rise of the new empirical sciences, the status of epic poetry in modern society, and the literary consequences of changes in the structure of family life and gender.  Student cannot receive credit for ENGL 55163 and ENGL 40473."
"ENGL","55173","Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course.  Comparative study of several plays each by Shakespeare and Marlowe, placing their work in historical and social contexts. Reading includes historical documents and literary theory.  Student cannot receive credit for ENGL 55173 and ENGL 40483."
"ENGL","55183","This course introduces graduate students to the history and theory of teaching literature and prepares them to teach in the undergraduate classroom.  Student cannot receive credit for ENGL 55183 and ENGL 60803."
"ENGL","55193","This course examines both shifting conceptions of authorship (e.g., writer versus author) and issues associated with authorial practices in American literary culture.  Topics may include individual authors' careers and questions about how conditions in different time periods (e.g., the rise/fall of magazine culture or changes in the public's reading habits) have shaped literary careers.  Students may repeat this course, which could utilize diverse organizing principles in differing offerings (e.g., popular culture authorship versus high art; American authorship as seen in critical theory; factors promoting the shift from amateur activity to professionalization).  Student cannot receive credit for ENGL 55193 and ENGL 70593."
"ENGL","55203","Seminar in the cultural politics of countries formerly colonized by Great Britain.  Topics vary: recent offerings have focused on India, Ireland, South Africa, Kenya, and Zimbabwe.  Student cannot receive credit for ENGL 55203 and 80463."
"ENGL","55213","Seminar in American literature since 1900. Student cannot receive credit for ENGL 55213 and 80513."
"ENGL","55223","The applications and implications of rhetorical criticism for the study of literature.  Student cannot receive credit for ENGL 55223 and ENGL 70713."
"ENGL","55233","Variable emphasis each semester. (Past offerings have included The Brownings' Circle.)  Student cannot receive credit for ENGL 55223 and ENGL 80453."
"ENGL","55243","Seminar in British literature of the eighteenth century.  Student cannot receive credit for ENGL 55243 and ENGL 80433."
"ENGL","55273","Prerequisites:  ENGL 10803, 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course.  Two period surveys, the first of medieval and early modern literature, and the second of nineteenth- and twentieth-century literature.  Both courses will consider literary antecedents, the conventions of various genres, the cultural circumstances of composition, and interpretive strategies.  Students may take both courses or either course.  The English Department recommends that ENGL 30113 and 30123 be taken consecutively.  Students cannot receive credit for ENGL 55273 and ENGL 30123."
"ENGL","55283","Prerequisites: ENGL 10803, 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course.  A close scrutiny of early 20th century British literature and criticism written by and about the intellectual circle called the Bloomsbury Group.  Writers and artists may include Virginia and Leonard Woolf, E.M. Forster, Lytton Strachey, Roger Fry, Duncan Grant, Vanessa and Clive Bell, and Desmond MacCarthy.  Emphasis will be given to the writers' engagement with, contributions to, and/or repudiation of Modernism, Empire, sexual norms, and class consciousness.  Student cannot receive credit for ENGL 55283 and ENGL 30463"
"ENGL","55303","Prerequisites: English majors or minors only; students must have junior or senior standing and must have completed one 30000-level ENGL or WRIT course.  Introduces English majors and minors to a sustained, long-format research project over the course of the semester.  Students will discuss and examine the practical and professional aspects of the English major while attempting to synthesize and integrate their various learning experiences in British literature and writing.  Student cannot receive credit for ENGL 55303 and ENGL 38013."
"ENGL","55313","Prerequisites:  ENGL 10803, 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course.  A study of major American authors emerging in the Twenties, the cultural context for their art, and the influences of their achievements.  Student cannot receive credit for ENGL 55313 and ENGL 30503."
"ENGL","55323","Prerequisites:  ENGL 10803, ENGL 20803 and at least one 10000- or 20000-level ENGL/WRIT/CRWT course.  A study of one or more female authors writing in the medieval or early modern periods in Britain, with attention to the development of beliefs about women's roles and characters and the ways these beliefs were accepted, challenged, or discredited.  Genres, authors, and approaches may vary by section.  Student cannot receive credit for ENGL 55323 and ENGL 30633."
"ENGL","55333","Prerequisites:  ENGL 10803, 20803, and at least one 10000- or 20000-level ENGL/WRIT course.  An intensive study of Shakespeare's major works.  Emphasis will be on developing interpretive strategies for understanding Shakespeare's aesthetic achievement within larger literary and historical contexts.  Topics may include attention to how Shakespeare's works were written, performed, and published as ways of understanding their significance to both early modern and contemporary culture.  Student cannot receive credit for ENGL 55333 and ENGL 40493."
"ENGL","55343","Prerequisites:  ENGL 10803, 20803, and one 20000-level ENGL/WRIT course.  Concentrated study of American literature before 1830.  Topics, genres, authors, and approaches will vary by semester.  May be taken more than once for credit under different sub-headings.  Student cannot receive credit for ENGL 55343 and ENGL 40543."
"ENGL","55353","Prerequisites:  ENGL 10803, 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course.  An analysis of the fiction, poetry, drama and essays by major ethnic writers from the United States.  From a comparative angle, this course will explore the historical, social, cultural and racial contexts that shape the literature.  Several critical approaches will be taken to show interrelationships among writers.  Student cannot receive credit for ENGL 55353 and ENGL 30693."
"ENGL","55363","Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENG/WRIT/CRWT course. Exploration of American literature from a transnational perspective.  Topics vary by semester.  May be taken only once for credit.  Student cannot receive credit for ENGL 55363 and ENGL 40663."
